,holds,grades,year,angle
1194,"[('A18', 'end'), ('B17', 'hold'), ('B16', 'hold'), ('C4', 'hold'), ('D13', 'hold'), ('G6', 'start'), ('G10', 'hold'), ('G15', 'hold')]",6C,2019,40
1195,"[('B11', 'hold'), ('D5', 'start'), ('F15', 'hold'), ('F14', 'hold'), ('F8', 'hold'), ('G5', 'start'), ('I18', 'end')]",6C,2019,40
1196,"[('B11', 'hold'), ('D15', 'hold'), ('F4', 'start'), ('G9', 'hold'), ('H18', 'end')]",6C,2019,40
1197,"[('A4', 'start'), ('B7', 'hold'), ('D18', 'end'), ('D10', 'hold'), ('E12', 'hold'), ('E14', 'hold'), ('F16', 'hold')]",6C,2019,40
1198,"[('A12', 'hold'), ('D18', 'end'), ('F15', 'hold'), ('I13', 'hold'), ('J5', 'start'), ('K5', 'start'), ('K8', 'hold'), ('K10', 'hold')]",6C,2019,40
1199,"[('A9', 'hold'), ('B5', 'start'), ('C12', 'hold'), ('E14', 'hold'), ('I16', 'hold'), ('I18', 'end')]",6C,2019,40
1200,"[('E8', 'hold'), ('F18', 'end'), ('G10', 'hold'), ('H11', 'hold'), ('H8', 'hold'), ('H4', 'start'), ('I4', 'start'), ('I14', 'hold'), ('J17', 'hold')]",6C,2019,40
1201,"[('B10', 'hold'), ('C14', 'hold'), ('D18', 'end'), ('F12', 'hold'), ('F8', 'hold'), ('F5', 'start'), ('H16', 'hold')]",6C,2019,40
1202,"[('B10', 'hold'), ('D13', 'hold'), ('F12', 'hold'), ('F8', 'hold'), ('F5', 'start'), ('H18', 'end'), ('H13', 'hold'), ('J15', 'hold'), ('K10', 'hold')]",6C,2019,40
1203,"[('B18', 'end'), ('C14', 'hold'), ('E16', 'hold'), ('F10', 'hold'), ('G5', 'start'), ('G12', 'hold'), ('H8', 'hold')]",6C,2019,40
1204,"[('B11', 'hold'), ('B8', 'hold'), ('C3', 'start'), ('F13', 'hold'), ('F8', 'hold'), ('G15', 'hold'), ('H5', 'start'), ('I15', 'hold'), ('I18', 'end')]",6C,2019,40
1205,"[('B18', 'end'), ('B16', 'hold'), ('B5', 'start'), ('F15', 'hold'), ('F10', 'hold'), ('F8', 'hold'), ('I5', 'hold'), ('J13', 'hold')]",6C,2019,40
1206,"[('D18', 'end'), ('D10', 'hold'), ('D3', 'start'), ('F17', 'hold'), ('F16', 'hold'), ('F8', 'hold'), ('G2', 'start'), ('H12', 'hold'), ('J6', 'hold'), ('K15', 'hold')]",6C,2019,40
1207,"[('A11', 'hold'), ('C7', 'hold'), ('C14', 'hold'), ('D18', 'end'), ('E10', 'hold'), ('F16', 'hold'), ('F8', 'hold'), ('J7', 'hold'), ('J5', 'start')]",6C,2019,40
1208,"[('B7', 'hold'), ('C14', 'hold'), ('D18', 'end'), ('D9', 'hold'), ('F14', 'hold'), ('G6', 'start'), ('G11', 'hold')]",6C,2019,40
1209,"[('B7', 'hold'), ('B5', 'start'), ('D13', 'hold'), ('E11', 'hold'), ('E17', 'hold'), ('G15', 'hold'), ('I18', 'end')]",6C,2019,40
1210,"[('B14', 'hold'), ('C18', 'end'), ('D8', 'hold'), ('D5', 'start'), ('E11', 'hold'), ('F16', 'hold'), ('G5', 'start')]",6C,2019,40
1211,"[('C8', 'hold'), ('D18', 'end'), ('E14', 'hold'), ('E15', 'hold'), ('F10', 'hold'), ('H11', 'hold'), ('H4', 'start'), ('J9', 'hold'), ('J5', 'start')]",6C,2019,40
1212,"[('A4', 'hold'), ('A6', 'hold'), ('B10', 'hold'), ('E12', 'hold'), ('E14', 'hold'), ('F8', 'hold'), ('F4', 'start'), ('I16', 'hold'), ('I18', 'end')]",6C,2019,40
1213,"[('B16', 'hold'), ('B14', 'hold'), ('B11', 'hold'), ('D18', 'end'), ('E11', 'hold'), ('F10', 'hold'), ('F4', 'start'), ('H9', 'hold'), ('J6', 'start')]",6C,2019,40
1214,"[('B3', 'start'), ('D8', 'hold'), ('E5', 'start'), ('F18', 'end'), ('H12', 'hold'), ('H10', 'hold'), ('I16', 'hold'), ('J7', 'hold')]",6C,2019,40
1215,"[('B18', 'end'), ('B14', 'hold'), ('D3', 'hold'), ('F16', 'hold'), ('G9', 'hold'), ('G12', 'hold'), ('H5', 'start'), ('J6', 'start')]",6C,2019,40
1216,"[('C2', 'start'), ('C8', 'hold'), ('C18', 'end'), ('E11', 'hold'), ('E12', 'hold'), ('F6', 'start'), ('G15', 'hold'), ('G17', 'hold'), ('I13', 'hold')]",6C,2019,40
1217,"[('B5', 'start'), ('E14', 'hold'), ('F9', 'hold'), ('F8', 'hold'), ('H18', 'end'), ('H12', 'hold'), ('H4', 'start')]",6C,2019,40
1218,"[('B10', 'hold'), ('D4', 'start'), ('E14', 'hold'), ('F13', 'hold'), ('F8', 'hold'), ('G4', 'start'), ('H18', 'end'), ('I16', 'hold')]",6C,2019,40
