,holds,grades
143,"[('B18', 'end'), ('E3', 'hold'), ('E13', 'hold'), ('E16', 'hold'), ('F8', 'hold'), ('F6', 'start'), ('H5', 'start'), ('I10', 'hold')]",6B
144,"[('B10', 'hold'), ('B2', 'start'), ('D18', 'end'), ('D17', 'hold'), ('E8', 'hold'), ('F12', 'hold'), ('F4', 'start'), ('G14', 'hold')]",6B
145,"[('A5', 'start'), ('B13', 'hold'), ('C7', 'hold'), ('D9', 'hold'), ('D1', 'hold'), ('E11', 'hold'), ('E14', 'hold'), ('E16', 'hold'), ('H18', 'end')]",6B
146,"[('A5', 'start'), ('C10', 'hold'), ('F10', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('G14', 'hold'), ('H18', 'end'), ('K15', 'hold')]",6B
147,"[('H10', 'hold'), ('H5', 'start'), ('I7', 'hold'), ('J18', 'end'), ('J16', 'hold'), ('J11', 'hold')]",6B
148,"[('B18', 'end'), ('B3', 'start'), ('C16', 'hold'), ('E3', 'start'), ('E13', 'hold'), ('F8', 'hold'), ('I10', 'hold')]",6B
149,"[('A5', 'start'), ('A8', 'hold'), ('C13', 'hold'), ('D17', 'hold'), ('E11', 'hold'), ('G14', 'hold'), ('H18', 'end')]",6B
150,"[('D10', 'hold'), ('E3', 'start'), ('E13', 'hold'), ('F17', 'hold'), ('F8', 'hold'), ('I3', 'start'), ('J18', 'end')]",6B
151,"[('F9', 'hold'), ('H5', 'start'), ('J18', 'end'), ('J16', 'hold'), ('J11', 'hold')]",6B
152,"[('C16', 'hold'), ('D18', 'end'), ('G13', 'hold'), ('H10', 'hold'), ('H5', 'start'), ('K4', 'start'), ('K9', 'hold')]",6B
153,"[('G6', 'start'), ('H18', 'end'), ('H10', 'hold'), ('I16', 'hold'), ('J7', 'hold'), ('J4', 'start'), ('K13', 'hold'), ('K17', 'hold')]",6B
154,"[('A3', 'hold'), ('C7', 'hold'), ('D15', 'hold'), ('D12', 'hold'), ('F18', 'end'), ('F5', 'start'), ('G10', 'hold'), ('H14', 'hold'), ('J4', 'start')]",6B
155,"[('A4', 'start'), ('B8', 'hold'), ('C10', 'hold'), ('C13', 'hold'), ('E6', 'start'), ('G14', 'hold'), ('G16', 'hold'), ('H18', 'end')]",6B
156,"[('D15', 'hold'), ('E6', 'start'), ('F18', 'end'), ('F12', 'hold'), ('G10', 'hold'), ('G13', 'hold'), ('I5', 'start')]",6B
157,"[('D10', 'hold'), ('E13', 'hold'), ('E16', 'hold'), ('E18', 'end'), ('F9', 'hold'), ('F8', 'hold'), ('H5', 'start')]",6A+
158,"[('D15', 'hold'), ('D5', 'start'), ('F18', 'end'), ('F12', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('G10', 'hold'), ('G13', 'hold')]",6A+
159,"[('B18', 'end'), ('C16', 'hold'), ('D10', 'hold'), ('E13', 'hold'), ('F8', 'hold'), ('H5', 'start'), ('K4', 'start')]",6A+
160,"[('B4', 'start'), ('D15', 'hold'), ('D9', 'hold'), ('F18', 'end'), ('F5', 'start'), ('G13', 'hold'), ('H10', 'hold')]",6A+
161,"[('B18', 'end'), ('E13', 'hold'), ('E16', 'hold'), ('F9', 'hold'), ('H12', 'hold'), ('H5', 'start'), ('I7', 'hold')]",6A+
162,"[('D9', 'hold'), ('F5', 'start'), ('G14', 'hold'), ('H18', 'end'), ('H10', 'hold'), ('K15', 'hold')]",6A+
163,"[('A16', 'hold'), ('B6', 'start'), ('C4', 'start'), ('C10', 'hold'), ('C13', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('E8', 'hold'), ('F12', 'hold')]",6A+
164,"[('D15', 'hold'), ('D9', 'hold'), ('D5', 'start'), ('F18', 'end'), ('F12', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('G13', 'hold')]",6A+
165,"[('A5', 'start'), ('E7', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('H18', 'end'), ('H10', 'hold'), ('I8', 'hold'), ('J18', 'end'), ('J16', 'hold'), ('J13', 'hold')]",6A+
166,"[('A4', 'hold'), ('B11', 'hold'), ('E7', 'hold'), ('E13', 'hold'), ('E16', 'hold'), ('F9', 'hold'), ('H5', 'start'), ('J18', 'end'), ('J16', 'hold'), ('K4', 'start')]",6A+
167,"[('C16', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F7', 'hold'), ('G13', 'hold'), ('H5', 'start'), ('I8', 'hold'), ('K4', 'start')]",6A+
168,"[('B18', 'end'), ('C16', 'hold'), ('D5', 'start'), ('F12', 'hold'), ('F8', 'hold'), ('G13', 'hold'), ('H5', 'start'), ('I8', 'hold')]",6A+
